#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00242  0.86994  0.022880  0.005723 -0.000004     3.998
   0.00918  0.99138  0.00557  0.87078  0.021164  0.005691  0.000003     3.719
   0.02407  0.97737  0.01061  0.87074  0.018236  0.005692  0.000041     3.204
   0.04030  0.96206  0.01600  0.87687  0.015285  0.005495  0.000178     2.782
   0.05780  0.94550  0.02167  0.89024  0.012525  0.005121  0.000371     2.446
   0.07643  0.92783  0.02756  0.91052  0.010141  0.004641  0.000637     2.185
   0.09599  0.90922  0.03358  0.93642  0.008219  0.004130  0.000974     1.990
   0.11630  0.88984  0.03966  0.96561  0.006748  0.003650  0.001359     1.849
   0.13716  0.86988  0.04571  0.99564  0.005652  0.003233  0.001764     1.748
   0.15843  0.84947  0.05168  1.02481  0.004837  0.002885  0.002167     1.677
   0.17997  0.82873  0.05753  1.05230  0.004219  0.002597  0.002555     1.625
   0.20170  0.80777  0.06322  1.07782  0.003738  0.002357  0.002924     1.586
   0.22353  0.78664  0.06874  1.10156  0.003352  0.002153  0.003277     1.557
   0.24543  0.76539  0.07405  1.12363  0.003032  0.001977  0.003616     1.534
   0.26735  0.74408  0.07916  1.14430  0.002762  0.001823  0.003944     1.515
   0.28926  0.72272  0.08404  1.16376  0.002527  0.001686  0.004268     1.499
   0.31115  0.70133  0.08869  1.18207  0.002320  0.001562  0.004587     1.486
   0.33300  0.67993  0.09311  1.19941  0.002136  0.001449  0.004907     1.474
   0.35482  0.65852  0.09730  1.21582  0.001969  0.001345  0.005228     1.463
   0.37660  0.63709  0.10124  1.23125  0.001817  0.001250  0.005548     1.454
   0.39837  0.61564  0.10493  1.24560  0.001679  0.001161  0.005862     1.447
   0.42018  0.59411  0.10839  1.25770  0.001561  0.001082  0.006126     1.443
   0.44202  0.57250  0.11163  1.27043  0.001445  0.001003  0.006410     1.441
   0.46382  0.55091  0.11466  1.28357  0.001333  0.000925  0.006690     1.441
   0.48551  0.52941  0.11746  1.29656  0.001231  0.000850  0.006907     1.448
   0.50703  0.50804  0.12001  1.30904  0.001147  0.000779  0.006940     1.472
   0.52834  0.48686  0.12231  1.32081  0.001096  0.000714  0.006532     1.535
   0.54940  0.46589  0.12434  1.33232  0.001117  0.000658  0.005196     1.698
   0.57020  0.44517  0.12610  1.34975  0.001290  0.000604  0.002635     2.137
   0.59069  0.42473  0.12758  1.39372  0.001694  0.000513  0.000369     3.305
   0.61086  0.40459  0.12877  1.41141  0.001827  0.000477 -0.000000     3.831
   0.63069  0.38479  0.12967  1.41961  0.001779  0.000461 -0.000015     3.859
   0.65014  0.36534  0.13027  1.42848  0.001665  0.000445  0.000052     3.744
   0.66921  0.34628  0.13058  1.43812  0.001530  0.000428  0.000179     3.579
   0.68785  0.32764  0.13059  1.44853  0.001398  0.000410  0.000353     3.413
   0.70606  0.30943  0.13030  1.45948  0.001279  0.000392  0.000561     3.264
   0.72379  0.29171  0.12972  1.47064  0.001174  0.000374  0.000789     3.141
   0.74104  0.27449  0.12886  1.48171  0.001083  0.000356  0.001030     3.039
   0.75776  0.25780  0.12771  1.49241  0.001004  0.000339  0.001275     2.957
   0.77394  0.24169  0.12630  1.50260  0.000934  0.000323  0.001529     2.888
   0.78955  0.22617  0.12464  1.51213  0.000871  0.000308  0.001788     2.830
   0.80456  0.21127  0.12273  1.52085  0.000816  0.000293  0.002045     2.783
   0.81896  0.19703  0.12061  1.52881  0.000766  0.000279  0.002315     2.740
   0.83274  0.18344  0.11830  1.53582  0.000721  0.000266  0.002583     2.705
   0.84589  0.17054  0.11581  1.54200  0.000678  0.000254  0.002868     2.672
   0.85839  0.15831  0.11316  1.54712  0.000641  0.000242  0.003149     2.645
   0.87027  0.14676  0.11039  1.55125  0.000606  0.000231  0.003433     2.621
   0.88153  0.13588  0.10752  1.55453  0.000573  0.000221  0.003742     2.596
   0.89218  0.12565  0.10456  1.55658  0.000543  0.000211  0.004036     2.578
   0.90225  0.11605  0.10153  1.55775  0.000515  0.000201  0.004346     2.559
   0.91176  0.10705  0.09845  1.55797  0.000489  0.000192  0.004683     2.540
   0.92074  0.09862  0.09534  1.55678  0.000465  0.000184  0.004977     2.528
   0.92923  0.09073  0.09220  1.55507  0.000441  0.000176  0.005350     2.509
   0.93725  0.08336  0.08905  1.55178  0.000421  0.000168  0.005676     2.497
   0.94484  0.07646  0.08589  1.54757  0.000400  0.000161  0.006031     2.484
   0.95202  0.07002  0.08272  1.54219  0.000381  0.000154  0.006397     2.471
   0.95882  0.06399  0.07956  1.53556  0.000363  0.000148  0.006767     2.459
   0.96528  0.05835  0.07641  1.52769  0.000346  0.000141  0.007158     2.447
   0.97143  0.05308  0.07326  1.51833  0.000330  0.000136  0.007538     2.437
   0.97727  0.04815  0.07012  1.50775  0.000314  0.000130  0.007981     2.422
   0.98284  0.04353  0.06699  1.49511  0.000300  0.000124  0.008362     2.413
   0.98817  0.03923  0.06387  1.48110  0.000286  0.000119  0.008812     2.400
   0.99326  0.03520  0.06075  1.46488  0.000273  0.000114  0.009210     2.391
   0.99814  0.03144  0.05764  1.44684  0.000260  0.000109  0.009642     2.380
   1.00282  0.02794  0.05453  1.42660  0.000248  0.000105  0.010129     2.366
   1.00732  0.02467  0.05143  1.40325  0.000237  0.000101  0.010484     2.359
   1.01166  0.02164  0.04833  1.37777  0.000226  0.000096  0.010910     2.347
   1.01584  0.01884  0.04523  1.34919  0.000216  0.000093  0.011311     2.336
   1.01988  0.01625  0.04213  1.31724  0.000207  0.000089  0.011654     2.326
   1.02379  0.01386  0.03903  1.28193  0.000198  0.000085  0.011965     2.316
   1.02758  0.01168  0.03593  1.24290  0.000190  0.000082  0.012231     2.305
   1.03126  0.00970  0.03283  1.19982  0.000182  0.000079  0.012421     2.295
   1.03483  0.00792  0.02974  1.15268  0.000175  0.000077  0.012453     2.289
   1.03831  0.00633  0.02664  1.10191  0.000169  0.000074  0.012496     2.278
   1.04170  0.00492  0.02356  1.04650  0.000163  0.000072  0.012386     2.269
   1.04501  0.00370  0.02048  0.98714  0.000158  0.000070  0.012052     2.266
   1.04824  0.00267  0.01742  0.92428  0.000153  0.000068  0.011837     2.250
   1.05141  0.00181  0.01437  0.85706  0.000151  0.000067  0.011087     2.256
   1.05451  0.00112  0.01135  0.78837  0.000147  0.000066  0.010662     2.239
   1.05755  0.00061  0.00835  0.71553  0.000145  0.000065  0.009738     2.241
   1.06053  0.00025  0.00539  0.64258  0.000143  0.000064  0.008906     2.237
   1.06346  0.00005  0.00247  0.56805  0.000142  0.000063  0.007990     2.233
   1.06634  0.00000 -0.00041  0.49261  0.000141  0.000063  0.006994     2.228
   1.06922  0.00009 -0.00329  0.41701  0.000141  0.000063  0.005845     2.241
   1.07215  0.00034 -0.00621  0.33897  0.000139  0.000062  0.004932     2.220
   1.07513  0.00074 -0.00916  0.25827  0.000141  0.000063  0.003637     2.240
   1.07814  0.00132 -0.01212  0.17698  0.000138  0.000062  0.002581     2.221
   1.08121  0.00207 -0.01509  0.09364  0.000143  0.000064  0.001313     2.230
   1.08433  0.00300 -0.01807  0.01268  0.000142  0.000064  0.000178     2.230
   1.08751  0.00412 -0.02105 -0.06993  0.000142  0.000064  0.000982     2.230
   1.09075  0.00543 -0.02401 -0.14931  0.000149  0.000066  0.001993     2.239
   1.09406  0.00694 -0.02696 -0.22618  0.000151  0.000068  0.003002     2.229
   1.09744  0.00864 -0.02988 -0.30115  0.000155  0.000069  0.003855     2.241
   1.10091  0.01054 -0.03278 -0.37193  0.000160  0.000071  0.004592     2.245
   1.10447  0.01264 -0.03565 -0.43864  0.000166  0.000074  0.005199     2.250
   1.10812  0.01494 -0.03849 -0.50126  0.000172  0.000076  0.005698     2.255
   1.11188  0.01744 -0.04130 -0.56059  0.000178  0.000079  0.006142     2.257
   1.11575  0.02015 -0.04407 -0.61541  0.000186  0.000082  0.006385     2.268
   1.11976  0.02307 -0.04680 -0.66574  0.000195  0.000086  0.006564     2.275
   1.12390  0.02621 -0.04950 -0.71325  0.000202  0.000089  0.006763     2.276
   1.12819  0.02958 -0.05217 -0.75642  0.000213  0.000093  0.006732     2.290
   1.13264  0.03317 -0.05480 -0.79684  0.000221  0.000097  0.006803     2.291
   1.13728  0.03701 -0.05739 -0.83319  0.000233  0.000101  0.006656     2.306
   1.14210  0.04110 -0.05996 -0.86759  0.000243  0.000105  0.006660     2.305
   1.14715  0.04546 -0.06249 -0.89882  0.000255  0.000110  0.006484     2.318
   1.15242  0.05011 -0.06499 -0.92723  0.000268  0.000115  0.006314     2.327
