  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2623                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0594   0.00818   0.00338  -0.0739   0.7940   0.5997
  -1.500   0.1081   0.00813   0.00340  -0.0726   0.7885   0.6198
  -1.000   0.1664   0.00808   0.00334  -0.0734   0.7842   0.6363
  -0.500   0.2154   0.00796   0.00327  -0.0720   0.7755   0.6534
   0.000   0.2645   0.00790   0.00324  -0.0707   0.7673   0.6713
   0.500   0.3139   0.00782   0.00323  -0.0695   0.7594   0.6891
   1.000   0.3680   0.00780   0.00324  -0.0693   0.7534   0.7067
   1.500   0.4187   0.00776   0.00325  -0.0683   0.7453   0.7234
   2.000   0.4652   0.00773   0.00326  -0.0664   0.7352   0.7384
   2.500   0.5015   0.00770   0.00330  -0.0623   0.7210   0.7528
   3.000   0.5360   0.00770   0.00334  -0.0578   0.7072   0.7672
   3.500   0.5713   0.00781   0.00347  -0.0536   0.6909   0.7820
   4.000   0.6096   0.00802   0.00370  -0.0501   0.6719   0.7956
   4.500   0.6443   0.00835   0.00403  -0.0460   0.6460   0.8100
   5.000   0.6722   0.00891   0.00449  -0.0408   0.6090   0.8246
   5.500   0.6925   0.00978   0.00523  -0.0343   0.5618   0.8387
   6.000   0.7048   0.01107   0.00630  -0.0268   0.5012   0.8542
   6.500   0.7201   0.01247   0.00750  -0.0203   0.4455   0.8697
   7.000   0.7398   0.01386   0.00873  -0.0148   0.3944   0.8849
   7.500   0.7633   0.01521   0.00994  -0.0102   0.3520   0.9003
   8.000   0.7903   0.01645   0.01108  -0.0063   0.3163   0.9165
