  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2623                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0544   0.00878   0.00300  -0.0688   0.6687   0.3779
  -1.500   0.1048   0.00876   0.00295  -0.0675   0.6428   0.3972
  -1.000   0.1545   0.00880   0.00294  -0.0661   0.6173   0.4168
  -0.500   0.2043   0.00885   0.00295  -0.0647   0.5933   0.4370
   0.000   0.2544   0.00891   0.00299  -0.0634   0.5711   0.4577
   0.500   0.3042   0.00899   0.00306  -0.0620   0.5498   0.4788
   1.000   0.3534   0.00909   0.00315  -0.0605   0.5292   0.5006
   1.500   0.4026   0.00919   0.00325  -0.0591   0.5097   0.5229
   2.000   0.4514   0.00931   0.00338  -0.0575   0.4908   0.5456
   2.500   0.4980   0.00944   0.00352  -0.0556   0.4725   0.5685
   3.000   0.5427   0.00961   0.00370  -0.0532   0.4549   0.5912
   4.000   0.6352   0.01010   0.00420  -0.0494   0.4200   0.6371
   4.500   0.6817   0.01041   0.00452  -0.0476   0.4026   0.6608
   5.500   0.7752   0.01109   0.00526  -0.0444   0.3692   0.7133
   6.000   0.8215   0.01145   0.00568  -0.0428   0.3533   0.7450
   6.500   0.8658   0.01184   0.00618  -0.0408   0.3377   0.7854
   7.000   0.9078   0.01228   0.00674  -0.0385   0.3224   0.8375
   7.500   0.9440   0.01279   0.00740  -0.0349   0.3075   0.9073
   8.000   0.9875   0.01347   0.00812  -0.0329   0.2919   0.9783
