  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2623                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.300 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0209   0.01117   0.00353  -0.0542   0.3000   0.3702
  -1.500   0.0321   0.01108   0.00350  -0.0535   0.3000   0.3895
  -1.000   0.0849   0.01100   0.00348  -0.0528   0.3000   0.4093
  -0.500   0.1376   0.01094   0.00348  -0.0520   0.3000   0.4297
   0.000   0.1901   0.01090   0.00351  -0.0512   0.3000   0.4507
   0.500   0.2415   0.01088   0.00356  -0.0502   0.3000   0.4722
   1.000   0.2912   0.01086   0.00362  -0.0488   0.3000   0.4941
   2.000   0.3913   0.01090   0.00383  -0.0463   0.3000   0.5398
   2.500   0.4431   0.01097   0.00399  -0.0455   0.3000   0.5637
   3.000   0.4953   0.01107   0.00420  -0.0447   0.3000   0.5877
   3.500   0.5476   0.01120   0.00443  -0.0440   0.3000   0.6117
   4.000   0.5999   0.01135   0.00467  -0.0433   0.3000   0.6353
   4.500   0.6516   0.01151   0.00495  -0.0426   0.3000   0.6594
   5.000   0.7029   0.01169   0.00526  -0.0418   0.3000   0.6847
   5.500   0.7540   0.01189   0.00559  -0.0410   0.3000   0.7127
   6.000   0.8041   0.01212   0.00596  -0.0400   0.3000   0.7447
   6.500   0.8531   0.01233   0.00639  -0.0389   0.3000   0.7856
   7.000   0.9005   0.01257   0.00686  -0.0374   0.3000   0.8381
   7.500   0.9423   0.01285   0.00742  -0.0347   0.3000   0.9077
   8.000   0.9875   0.01347   0.00812  -0.0329   0.2919   0.9783
