x y
0.78530400 0.01173462
0.77657904 0.01421851
0.76693323 0.01651898
0.75639586 0.01895904
0.74492956 0.02159296
0.73248799 0.02442775
0.71903157 0.02747469
0.70452284 0.03072183
0.68893699 0.03417320
0.67224763 0.03777348
0.65445351 0.04152187
0.63555729 0.04536341
0.61557578 0.04922395
0.59454329 0.05301965
0.57251198 0.05665042
0.54955927 0.06003250
0.52578097 0.06306609
0.50129779 0.06568450
0.47625279 0.06788336
0.45080243 0.06968423
0.42511058 0.07112181
0.39934444 0.07221278
0.37366979 0.07295618
0.34825162 0.07340120
0.32324597 0.07355603
0.29879843 0.07343043
0.27504150 0.07305431
0.25209154 0.07243240
0.23004782 0.07158782
0.20899013 0.07055213
0.18898050 0.06933865
0.17006237 0.06796995
0.15226134 0.06646855
0.13558800 0.06485000
0.12003882 0.06312419
0.10559559 0.06132311
0.09223435 0.05943853
0.07991701 0.05750611
0.06861057 0.05548510
0.05826895 0.05339305
0.04886330 0.05115861
0.04037263 0.04871205
0.03277531 0.04602060
0.02602785 0.04313994
0.02018997 0.03992456
0.01539735 0.03624398
0.01160562 0.03229161
0.00862506 0.02833191
0.00630848 0.02449886
0.00452335 0.02087113
0.00317052 0.01748553
0.00217631 0.01435473
0.00144498 0.01148956
0.00090198 0.00888535
0.00051205 0.00652595
0.00024573 0.00439406
0.00007551 0.00247229
-0.00000865 0.00074259
-0.00003373 -0.00081079
-0.00000703 -0.00220363
0.00006051 -0.00345103
0.00015571 -0.00456668
0.00027097 -0.00556297
0.00040190 -0.00645203
0.00053957 -0.00724494
0.00067694 -0.00795233
0.00081182 -0.00858306
0.00094310 -0.00914531
0.00106917 -0.00964644
0.00118856 -0.01009333
0.00130827 -0.01051388
0.00144819 -0.01097787
0.00161231 -0.01148973
0.00180556 -0.01205396
0.00203367 -0.01267106
0.00230334 -0.01334503
0.00262259 -0.01408167
0.00300101 -0.01488801
0.00344670 -0.01576768
0.00396888 -0.01671957
0.00458713 -0.01774899
0.00532142 -0.01885871
0.00618191 -0.02004357
0.00719679 -0.02130851
0.00837857 -0.02264763
0.00976519 -0.02405256
0.01137541 -0.02551241
0.01324775 -0.02701250
0.01539024 -0.02855422
0.01783180 -0.03013422
0.02060826 -0.03172562
0.02374008 -0.03332737
0.02724697 -0.03494966
0.03117164 -0.03656017
0.03553783 -0.03816546
0.04036559 -0.03979643
0.04569761 -0.04142671
0.05157727 -0.04302457
0.05803280 -0.04461614
0.06510107 -0.04620605
0.07282256 -0.04778299
0.08123507 -0.04935288
0.09038119 -0.05088980
0.10029416 -0.05241714
0.11101387 -0.05390421
0.12256907 -0.05537344
0.13499179 -0.05680101
0.14830914 -0.05815039
0.16253727 -0.05941406
0.17768689 -0.06057901
0.19375939 -0.06162986
0.21074724 -0.06252195
0.22863011 -0.06323947
0.24737461 -0.06378395
0.26693794 -0.06408341
0.28726051 -0.06413659
0.30827101 -0.06391445
0.32988524 -0.06336338
0.35200404 -0.06242076
0.37451423 -0.06099888
0.39728804 -0.05900027
0.42019026 -0.05638457
0.44309404 -0.05322039
0.46588678 -0.04965163
0.48845351 -0.04576467
0.51067691 -0.04159667
0.53245472 -0.03722867
0.55367270 -0.03263632
