Name = x y
Mach = 0; Re = 30000000; T.U. = 0.0; T.L. = 0.0
Surface Finish = 0; Stall model = 1; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-18.0	-0.294	0.02036	-0.226	0.741	0.741	1.000	0.998	-14.419	0.572	-0.521
-17.5	-0.276	0.01815	-0.232	0.741	0.741	1.000	0.998	-15.217	0.535	-0.591
-17.0	-0.255	0.01630	-0.237	0.741	0.741	1.000	0.998	-15.662	0.429	-0.680
-16.5	-0.223	0.01503	-0.242	0.741	0.741	1.000	0.998	-14.858	0.359	-0.832
-16.0	-0.185	0.01406	-0.245	0.741	0.741	1.000	0.998	-13.158	0.335	-1.075
-15.5	-0.144	0.01323	-0.248	0.741	0.741	1.000	0.998	-10.885	0.320	-1.474
-15.0	-0.099	0.01257	-0.251	0.741	0.741	1.000	0.998	-7.887	0.310	-2.283
-14.5	-0.053	0.01199	-0.254	0.741	0.741	1.000	0.998	-4.396	0.303	-4.565
-14.0	-0.004	0.01156	-0.256	0.741	0.741	1.000	0.998	-0.332	0.297	-66.458
-13.5	0.047	0.01115	-0.258	0.741	0.741	1.000	0.998	4.186	0.293	5.787
-13.0	0.098	0.00901	-0.261	0.741	0.741	1.000	0.998	10.903	0.290	2.903
-12.5	0.151	0.00894	-0.263	0.741	0.741	1.000	0.998	16.851	0.288	1.994
-12.0	0.203	0.00888	-0.265	0.741	0.741	1.000	0.998	22.915	0.041	1.550
-11.5	0.132	0.00939	-0.266	0.741	0.741	1.000	0.998	14.092	-0.155	2.264
-11.0	0.194	0.00934	-0.268	0.741	0.741	1.000	0.998	20.818	0.278	1.629
-10.5	0.257	0.00932	-0.270	0.741	0.741	1.000	0.998	27.530	0.277	1.302
-10.0	0.319	0.00931	-0.272	0.741	0.741	1.000	0.998	34.206	0.276	1.102
-9.5	0.381	0.00936	-0.273	0.741	0.741	1.000	0.998	40.650	0.275	0.968
-9.0	0.442	0.00938	-0.275	0.741	0.741	1.000	0.998	47.134	0.274	0.871
-8.5	0.504	0.01011	-0.276	0.741	0.741	1.000	0.998	49.838	0.273	0.798
-8.0	0.565	0.01015	-0.277	0.741	0.741	1.000	0.998	55.687	0.272	0.741
-7.5	0.627	0.01021	-0.279	0.741	0.741	1.000	0.998	61.399	0.271	0.695
-7.0	0.688	0.01029	-0.280	0.741	0.741	1.000	0.998	66.832	0.270	0.657
-6.5	0.749	0.01035	-0.281	0.741	0.741	1.000	0.998	72.302	0.269	0.626
-6.0	0.809	0.01042	-0.282	0.741	0.741	1.000	0.998	77.617	0.268	0.599
-5.5	0.869	0.01063	-0.283	0.741	0.741	1.000	0.998	81.743	0.268	0.576
-5.0	0.929	0.01071	-0.285	0.741	0.741	1.000	0.998	86.726	0.267	0.556
-4.5	0.989	0.01090	-0.285	0.741	0.741	1.000	0.998	90.734	0.266	0.539
-4.0	1.048	0.01181	-0.286	0.741	0.741	1.000	0.998	88.707	0.265	0.523
-3.5	1.107	0.01198	-0.287	0.741	0.741	1.000	0.998	92.361	0.264	0.510
-3.0	1.165	0.01218	-0.288	0.741	0.741	1.000	0.998	95.689	0.263	0.497
-2.5	1.223	0.01237	-0.289	0.741	0.741	1.000	0.998	98.911	0.262	0.486
-2.0	1.281	0.01257	-0.290	0.741	0.741	1.000	0.998	101.864	0.262	0.476
-1.5	1.338	0.01281	-0.290	0.741	0.741	1.000	0.998	104.453	0.261	0.467
-1.0	1.394	0.01308	-0.291	0.741	0.741	1.000	0.998	106.614	0.260	0.459
-0.5	1.450	0.01409	-0.291	0.741	0.741	1.000	0.998	102.896	0.259	0.451
0.0	1.505	0.01426	-0.292	0.741	0.741	1.000	0.998	105.506	0.253	0.444
0.5	1.561	0.01470	-0.292	0.741	0.741	1.000	0.998	106.144	0.247	0.437
1.0	1.616	0.01506	-0.291	0.741	0.741	1.000	0.998	107.279	0.246	0.430
1.5	1.670	0.01610	-0.291	0.741	0.741	1.000	0.998	103.683	0.246	0.424
2.0	1.723	0.01383	-0.291	0.741	0.741	1.000	0.998	124.640	0.245	0.419
2.5	1.776	0.01422	-0.291	0.741	0.741	1.000	0.998	124.909	0.244	0.414
3.0	1.827	0.01489	-0.290	0.741	0.741	1.000	0.998	122.676	0.243	0.409
3.5	1.877	0.01544	-0.290	0.741	0.741	1.000	0.998	121.579	0.242	0.404
4.0	1.926	0.01597	-0.289	0.741	0.741	1.000	0.998	120.581	0.241	0.400
4.5	1.974	0.01644	-0.289	0.741	0.741	1.000	0.998	120.075	0.240	0.396
5.0	2.020	0.01734	-0.288	0.741	0.741	1.000	0.998	116.476	0.239	0.393
5.5	2.065	0.01810	-0.288	0.741	0.741	1.000	0.998	114.081	0.237	0.389
6.0	2.109	0.01858	-0.287	0.741	0.741	1.000	0.998	113.520	0.236	0.386
6.5	2.151	0.01939	-0.287	0.741	0.741	1.000	0.998	110.905	0.235	0.383
7.0	2.191	0.02062	-0.286	0.741	0.741	1.000	0.998	106.269	0.233	0.381
7.5	2.230	0.02130	-0.285	0.741	0.741	1.000	0.998	104.665	0.231	0.378
8.0	2.267	0.02225	-0.285	0.741	0.741	1.000	0.998	101.868	0.229	0.376
8.5	2.302	0.02364	-0.284	0.741	0.741	1.000	0.998	97.349	0.227	0.373
9.0	2.335	0.02509	-0.283	0.741	0.741	1.000	0.998	93.061	0.224	0.371
9.5	2.367	0.02691	-0.282	0.742	0.742	1.000	0.998	87.953	-0.093	0.369
10.0	2.309	0.02849	-0.292	0.742	0.742	1.000	0.998	81.038	0.083	0.377
10.5	2.253	0.03299	-0.301	0.742	0.742	1.000	0.998	68.283	0.114	0.384
11.0	2.122	0.04642	-0.318	0.742	0.742	1.000	0.998	45.715	0.113	0.400
11.5	2.121	0.05142	-0.319	0.742	0.742	1.000	0.998	41.248	0.737	0.401
12.0	2.128	0.05544	-0.320	0.742	0.742	1.000	0.998	38.381	0.366	0.401
12.5	2.136	0.05906	-0.321	0.742	0.742	1.000	0.998	36.168	0.442	0.400
13.0	2.138	0.06238	-0.322	0.742	0.742	0.997	0.998	34.273	0.529	0.401
13.5	2.143	0.06592	-0.323	0.742	0.742	0.996	0.998	32.516	0.399	0.401
14.0	2.148	0.06936	-0.324	0.742	0.742	0.995	0.998	30.963	0.391	0.401
14.5	2.152	0.07364	-0.324	0.742	0.742	0.995	0.998	29.225	0.396	0.401
15.0	2.155	0.07734	-0.325	0.742	0.742	0.995	0.998	27.864	0.469	0.401
15.5	2.157	0.08114	-0.325	0.742	0.742	0.995	0.998	26.579	0.739	0.401
16.0	2.157	0.08479	-0.326	0.742	0.742	0.994	0.998	25.437	-0.544	0.401
16.5	2.156	0.08892	-0.326	0.742	0.742	0.994	0.998	24.241	0.056	0.401
17.0	2.153	0.09332	-0.327	0.742	0.742	0.994	0.998	23.071	0.138	0.402
17.5	2.149	0.09774	-0.327	0.742	0.742	0.994	0.998	21.989	0.180	0.402
18.0	2.144	0.10243	-0.327	0.742	0.742	0.994	0.998	20.930	0.202	0.403
18.5	2.137	0.10696	-0.327	0.742	0.742	0.993	0.998	19.984	0.214	0.403
19.0	2.130	0.11183	-0.328	0.743	0.743	0.993	0.998	19.045	0.222	0.404
19.5	2.121	0.11629	-0.328	0.743	0.743	0.993	0.998	18.240	0.229	0.405
20.0	2.111	0.12121	-0.328	0.743	0.743	0.993	0.998	17.420	0.232	0.405


