Name = NLR-7301 AIRFOIL
Mach = 0; Re = 300000000; T.U. = 0.0; T.L. = 0.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
alpha	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	1.039	0.05608	-0.052	0.000	0.000	0.803	0.041	18.524	0.832	0.300
-9.0	1.042	0.05165	-0.054	0.000	0.000	0.823	0.032	20.181	0.573	0.302
-8.0	1.051	0.04741	-0.056	0.000	0.000	0.844	0.024	22.174	-2.755	0.303
-7.0	1.060	0.04207	0.000	0.006	0.006	0.964	0.000	25.204	0.484	0.250
-6.0	1.083	0.03994	-0.064	0.000	0.000	0.893	0.016	27.106	1.857	0.309
-5.0	1.103	0.03684	-0.068	0.000	0.000	0.925	0.013	29.924	0.445	0.311
-4.0	1.126	0.03437	-0.072	0.000	0.000	0.952	0.011	32.750	0.424	0.314
-3.0	1.152	0.03136	-0.076	0.000	0.000	0.975	0.009	36.732	0.399	0.316
-2.0	1.183	0.03058	-0.080	0.000	0.000	1.000	0.008	38.686	0.377	0.318
-1.0	1.215	0.03212	-0.084	0.000	0.000	1.000	0.006	37.836	0.414	0.319
-0.0	1.251	-0.97209	-0.092	0.000	0.000	0.994	0.006	-1.287	0.266	0.323
1.0	1.611	0.01139	-0.090	0.000	0.000	1.000	0.004	141.533	0.252	0.306
2.0	1.666	0.01504	-0.092	0.000	0.000	1.000	0.003	110.815	0.001	0.305
3.0	1.726	0.00772	-0.062	0.001	0.001	1.000	0.000	223.559	0.040	0.286
4.0	1.782	0.00399	-0.068	0.002	0.002	1.000	0.000	446.496	0.354	0.288
5.0	1.838	0.00405	-0.074	0.004	0.004	1.000	0.000	454.271	0.348	0.290
6.0	1.893	0.00418	-0.079	0.005	0.005	1.000	0.000	453.040	0.370	0.292
7.0	1.945	0.00435	-0.086	0.008	0.008	1.000	0.000	447.326	0.368	0.294
8.0	1.993	0.00468	-0.091	0.010	0.010	1.000	0.000	425.655	0.370	0.296
9.0	2.036	0.00489	-0.097	0.013	0.013	1.000	0.000	416.265	0.385	0.298
10.0	2.072	0.00522	-0.101	0.016	0.016	1.000	0.000	397.015	0.350	0.299
11.0	2.100	0.00583	-0.104	0.020	0.020	1.000	0.000	359.900	0.369	0.299
12.0	2.118	0.00605	-0.107	0.025	0.025	1.000	0.000	350.036	0.467	0.301
13.0	2.127	0.00654	-0.110	0.025	0.025	1.000	0.000	325.099	-0.094	0.302
14.0	1.704	0.11303	-0.250	0.000	0.000	0.008	0.956	15.078	0.040	0.396
15.0	2.114	0.00767	-0.112	0.035	0.035	1.000	0.000	275.721	-1.249	0.303
16.0	1.678	0.14530	-0.288	0.000	0.000	0.010	0.962	11.551	0.366	0.422
17.0	2.062	0.00954	-0.106	0.050	0.050	1.000	0.000	216.083	-0.307	0.302
18.0	2.022	0.01033	-0.097	0.050	0.050	1.000	0.000	195.851	0.068	0.298
19.0	1.976	0.01148	-0.122	0.050	0.050	1.000	0.000	172.107	-7.481	0.312
20.0	1.923	0.04516	-0.867	0.065	0.065	1.000	0.968	42.580	-13.837	0.701


