Name = nlr 7301
Mach = 0; Re = 300000000; T.U. = 0.0; T.L. = 0.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
alpha	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	1.254	0.00861	-0.428	0.762	0.762	0.749	0.961	145.569	0.255	0.591
-9.5	1.309	0.00876	-0.428	0.762	0.762	0.749	0.961	149.484	0.254	0.577
-9.0	1.365	0.00898	-0.428	0.762	0.762	0.749	0.961	151.981	0.253	0.564
-8.5	1.420	0.00919	-0.428	0.762	0.762	0.749	0.961	154.572	0.252	0.551
-8.0	1.476	0.00955	-0.428	0.762	0.762	0.749	0.961	154.592	0.251	0.540
-7.5	1.531	0.00960	-0.428	0.764	0.764	0.749	0.961	159.440	0.249	0.530
-7.0	1.585	0.00984	-0.428	0.764	0.764	0.749	0.961	161.131	0.248	0.520
-6.5	1.639	0.01024	-0.428	0.764	0.764	0.749	0.961	160.149	0.247	0.511
-6.0	1.693	0.01037	-0.428	0.764	0.764	0.749	0.961	163.173	0.246	0.503
-5.5	1.745	0.01066	-0.428	0.764	0.764	0.749	0.961	163.786	0.245	0.495
-5.0	1.797	0.01112	-0.427	0.764	0.764	0.749	0.961	161.652	0.243	0.488
-4.5	1.848	0.01125	-0.427	0.764	0.764	0.749	0.961	164.318	0.242	0.481
-4.0	1.898	0.01152	-0.426	0.764	0.764	0.749	0.961	164.809	0.240	0.475
-3.5	1.947	0.01202	-0.426	0.764	0.764	0.749	0.961	162.009	0.239	0.469
-3.0	1.995	0.01227	-0.425	0.764	0.764	0.749	0.961	162.533	0.237	0.463
-2.5	2.041	0.01299	-0.425	0.768	0.768	0.749	0.961	157.126	0.235	0.458
-2.0	2.086	0.01332	-0.424	0.768	0.768	0.749	0.961	156.634	0.234	0.453
-1.5	2.130	0.01401	-0.423	0.768	0.768	0.749	0.961	152.054	0.231	0.449
-1.0	2.171	0.01408	-0.422	0.768	0.768	0.749	0.961	154.218	0.229	0.445
-0.5	2.210	0.01462	-0.422	0.768	0.768	0.749	0.961	151.197	0.218	0.441
0.0	2.229	0.01626	-0.421	0.768	0.768	0.749	0.961	137.064	0.213	0.439
0.5	2.263	0.01691	-0.420	0.768	0.768	0.749	0.961	133.864	0.219	0.435
1.0	2.296	0.01776	-0.419	0.768	0.768	0.749	0.961	129.266	0.215	0.432
1.5	2.326	0.01812	-0.417	0.768	0.768	0.749	0.961	128.342	0.210	0.429
2.0	2.353	0.01916	-0.416	0.771	0.771	0.749	0.961	122.791	0.203	0.427
2.5	2.378	0.01995	-0.415	0.771	0.771	0.749	0.961	119.181	0.196	0.424
3.0	2.400	0.02077	-0.414	0.771	0.771	0.749	0.961	115.565	0.186	0.422
3.5	2.419	0.02111	-0.412	0.771	0.771	0.749	0.961	114.626	0.173	0.420
4.0	2.436	0.02188	-0.411	0.771	0.771	0.749	0.961	111.325	0.155	0.419
4.5	2.450	0.02284	-0.409	0.771	0.771	0.749	0.961	107.266	0.129	0.417
5.0	2.461	0.02396	-0.408	0.771	0.771	0.749	0.961	102.724	0.089	0.416
5.5	2.470	0.02503	-0.406	0.771	0.771	0.749	0.961	98.662	0.019	0.414
6.0	2.475	0.02589	-0.405	0.771	0.771	0.749	0.961	95.614	-0.140	0.413
6.5	2.478	0.02678	-0.403	0.775	0.775	0.749	0.961	92.549	-0.778	0.413
7.0	2.479	0.02806	-0.401	0.775	0.775	0.749	0.961	88.328	2.314	0.412
7.5	2.477	0.02929	-0.399	0.775	0.775	0.749	0.961	84.542	0.801	0.411
8.0	2.472	0.03051	-0.397	0.775	0.775	0.749	0.961	81.022	0.580	0.411
8.5	2.465	0.03105	-0.395	0.775	0.775	0.749	0.961	79.399	0.492	0.410
9.0	2.456	0.03218	-0.393	0.775	0.775	0.749	0.961	76.306	0.446	0.410
9.5	2.444	0.03418	-0.391	0.775	0.775	0.749	0.961	71.510	0.417	0.410
10.0	2.431	0.03594	-0.389	0.775	0.775	0.749	0.961	67.651	0.398	0.410
10.5	2.416	0.03758	-0.387	0.775	0.775	0.749	0.961	64.280	0.385	0.410
11.0	2.399	0.04036	-0.385	0.779	0.779	0.749	0.961	59.433	0.317	0.410
11.5	2.325	0.03934	-0.381	0.779	0.779	0.749	0.961	59.097	0.307	0.414
12.0	2.265	0.04656	-0.377	0.779	0.779	0.749	0.961	48.653	0.308	0.417
12.5	2.164	0.05815	-0.372	0.779	0.779	0.749	0.961	37.217	0.314	0.422
13.0	2.120	0.06527	-0.368	0.779	0.779	0.750	0.961	32.477	0.332	0.424
13.5	2.085	0.07147	-0.365	0.779	0.779	0.749	0.961	29.167	0.338	0.425
14.0	2.051	0.07786	-0.362	0.779	0.779	0.749	0.961	26.344	0.340	0.427
14.5	2.022	0.08356	-0.359	0.783	0.783	0.750	0.961	24.193	0.342	0.428
15.0	1.994	0.08863	-0.357	0.783	0.783	0.750	0.961	22.494	0.343	0.429
15.5	1.965	0.09450	-0.354	0.783	0.783	0.750	0.961	20.796	0.343	0.430
16.0	1.937	0.10026	-0.352	0.783	0.783	0.750	0.961	19.321	0.343	0.432
16.5	1.909	0.10615	-0.349	0.783	0.783	0.750	0.961	17.986	0.344	0.433
17.0	1.881	0.11203	-0.346	0.783	0.783	0.750	0.961	16.792	0.345	0.434
17.5	1.854	0.11774	-0.344	0.783	0.783	0.750	0.961	15.748	0.345	0.435
18.0	1.827	0.12395	-0.341	0.788	0.788	0.749	0.961	14.737	0.346	0.437
18.5	1.799	0.13034	-0.339	0.788	0.788	0.749	0.961	13.803	0.347	0.438
19.0	1.772	0.13740	-0.336	0.788	0.788	0.749	0.961	12.893	0.349	0.440
19.5	1.744	0.14414	-0.333	0.788	0.788	0.749	0.961	12.102	0.350	0.441
20.0	1.717	0.15086	-0.330	0.788	0.788	0.749	0.961	11.384	0.351	0.442


