v/(nD)	v/(?R)	Ct	Cp	Cs	Tc	Pc	?	?*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[N]	[Nm]
0.000	0.000	0.082127	0.041178	0.000059	9.999999	9.999999	0.01	0.01	26.00 !	0.00	12000	2.1126	60.19	1.6811
0.050	0.016	0.091180	0.035796	0.097320	9.999999	9.999999	12.74	18.49	57.00 !	3.50	12000	1.8365	66.83	1.4614
0.100	0.032	0.081042	0.041464	0.189002	9.999999	9.999999	19.55	35.02	26.00 !	7.00	12000	2.1272	59.40	1.6928
0.150	0.048	0.077544	0.041867	0.282955	8.776192	9.999999	27.78	47.98	20.00 !	10.50	12000	2.1479	56.83	1.7093
0.200	0.064	0.073023	0.041802	0.377389	4.648774	9.999999	34.94	58.67	20.00	14.00	12000	2.1446	53.52	1.7066
0.250	0.080	0.066874	0.040685	0.474299	2.724690	6.630666	41.09	67.67	16.00	17.50	12000	2.0873	49.01	1.6610
0.300	0.095	0.061470	0.039718	0.571906	1.739239	3.745941	46.43	74.73	9.00	21.00	12000	2.0377	45.05	1.6215
0.350	0.111	0.055469	0.038026	0.673057	1.153062	2.258486	51.05	80.48	0.00	24.50	12000	1.9509	40.65	1.5524
0.400	0.127	0.048346	0.036052	0.777451	0.769452	1.434480	53.64	85.29	0.00	28.00	12000	1.8496	35.43	1.4719
0.450	0.143	0.040466	0.033382	0.888196	0.508869	0.932869	54.55	89.28	1.00	31.50	12000	1.7126	29.66	1.3629
0.500	0.159	0.032275	0.030100	1.007527	0.328748	0.613193	53.61	92.52	1.00	35.00	12000	1.5442	23.65	1.2289
0.510	0.162	0.030617	0.029376	1.032694	0.299754	0.563927	53.15	93.09	1.00	35.70	12000	1.5071	22.44	1.1993
0.520	0.166	0.028944	0.028625	1.058412	0.272580	0.518410	52.58	93.63	1.00	36.40	12000	1.4686	21.21	1.1686
0.530	0.169	0.027258	0.027847	1.084724	0.247102	0.476316	51.88	94.15	1.00	37.10	12000	1.4287	19.98	1.1369
0.540	0.172	0.025559	0.027044	1.111681	0.223203	0.437348	51.04	94.65	1.00	37.80	12000	1.3874	18.73	1.1041
0.550	0.175	0.023845	0.026212	1.139361	0.200734	0.401198	50.03	95.14	1.00	38.50	12000	1.3448	17.48	1.0701
0.560	0.178	0.022124	0.025357	1.167804	0.179646	0.367677	48.86	95.60	1.00	39.20	12000	1.3009	16.21	1.0352
0.570	0.181	0.020378	0.024485	1.197002	0.159717	0.336678	47.44	96.04	2.00	39.90	12000	1.2562	14.94	0.9996
0.580	0.185	0.018632	0.023574	1.227278	0.141037	0.307667	45.84	96.47	2.00	40.60	12000	1.2094	13.66	0.9624
0.590	0.188	0.016873	0.022634	1.258631	0.123429	0.280641	43.98	96.88	2.00	41.30	12000	1.1612	12.37	0.9241
0.600	0.191	0.015104	0.021670	1.291160	0.106841	0.255472	41.82	97.27	2.00	42.00	12000	1.1117	11.07	0.8847
0.610	0.194	0.013322	0.020677	1.325050	0.091173	0.231973	39.30	97.65	2.00	42.70	12000	1.0608	9.76	0.8442
0.620	0.197	0.011533	0.019660	1.360431	0.076398	0.210059	36.37	98.01	2.00	43.40	12000	1.0086	8.45	0.8026
0.630	0.201	0.009725	0.018613	1.397586	0.062395	0.189552	32.92	98.36	2.00	44.10	12000	0.9549	7.13	0.7599
0.640	0.204	0.007914	0.017545	1.436648	0.049203	0.170431	28.87	98.70	2.00	44.80	12000	0.9001	5.80	0.7163
0.650	0.207	0.006099	0.016453	1.477957	0.036758	0.152566	24.09	99.02	2.00	45.50	12000	0.8441	4.47	0.6717
0.660	0.210	0.004250	0.015320	1.522281	0.024843	0.135692	18.31	99.33	2.00	46.20	12000	0.7859	3.11	0.6254
0.670	0.213	0.002402	0.014164	1.569779	0.013624	0.119922	11.36	99.63	2.00	46.90	12000	0.7267	1.76	0.5783
0.680	0.216	0.000540	0.012976	1.621355	0.002974	0.105092	2.83	99.92	2.00	47.60	12000	0.6657	0.40	0.5298
0.690	0.220	-0.001307	0.011775	1.677465	-0.006990	0.091279	0.00	99.99	2.00	48.30	12000	0.6041	-0.96	0.4807
0.700	0.223	-0.003205	0.010565	1.739095	-0.016658	0.078437	0.00	99.99	4.00	49.00	12000	0.5420	-2.35	0.4313
0.710	0.226	-0.005086	0.009293	1.809785	-0.025692	0.066118	0.00	99.99	4.00	49.70	12000	0.4768	-3.73	0.3794
0.720	0.229	-0.006983	0.007986	1.891746	-0.034300	0.054487	0.00	99.99	4.00	50.40	12000	0.4097	-5.12	0.3261
0.730	0.232	-0.008880	0.006655	1.989252	-0.042434	0.043565	0.00	99.99	4.00	51.10	12000	0.3414	-6.51	0.2717
0.740	0.236	-0.010803	0.005282	2.111922	-0.050238	0.033190	0.00	99.99	4.00	51.80	12000	0.2710	-7.92	0.2156
0.750	0.239	-0.012723	0.003886	2.275888	-0.057596	0.023459	0.00	99.99	4.00	52.50	12000	0.1994	-9.32	0.1587
0.760	0.242	-0.014645	0.002464	2.526319	-0.064568	0.014293	0.00	99.99	4.00	53.20	12000	0.1264	-10.73	0.1006
0.770	0.245	-0.016554	0.001028	3.048327	-0.071098	0.005736	0.00	99.99	4.00	53.90	12000	0.0528	-12.13	0.0420
0.780	0.248	-0.018475	-0.000442	3.656739	-0.077329	-0.002370	0.24	55.74	4.00	54.60	12000	-0.0227	-13.54	-0.0180
